MS_IMP_SEG,YR_BUILT
R1482924.4.3,1953
R148600.1.1,1992
R1491674.1.1,1988
R1493743.1.1,1989
R1493743.1.2,1989
R1493743.1.3,1989
R1493743.1.4,1989
R1493743.1.5,1989
R1493743.1.6,1989
R1493976.1.1,2006
R1493976.1.3,2006
R1494225.1.1,2005
R1494984.1.1,1954
R149547.1.1,1979
R149565.1.1,1965
R149574.1.1,1978
R149574.2.1,1972
R149583.1.1,1979
R1495901.1.1,2009
R1495901.2.1,2009
R149627.1.1,1920
R149627.1.2,1920
R149627.1.4,1920
R15290.1.1,1950
R153997.1.1,1940
R153997.1.2,1940
R154013.1.1,2003
R154013.1.3,2003
R154022.1.1,1965
R154022.1.3,1965
R154031.1.1,1960
R154040.1.1,1947
R154059.1.1,1945
R154068.1.1,1940
R154086.1.1,1950
R154086.1.2,1950
R154095.1.1,1940
R154102.1.1,1955
R154102.1.2,1955
R154111.1.1,1955
R154111.1.2,1955
R154120.1.1,1930
R154148.1.1,1970
R154148.1.2,1970
R154157.1.1,1939
R154157.1.2,1939
R154157.2.1,1960
R154166.1.1,1920
R154166.2.1,1920
R154941.1.1,1980
R154941.1.2,1980
R154950.1.1,1930
R154950.1.2,1930
R154969.1.1,1929
R154969.1.2,1929
R155254.2.1,1995
R155307.1.1,1998
R155325.1.1,1975
R157369.1.1,1985
R157378.1.1,1989
R157387.1.1,1970
R158938.1.1,1969
R163977.1.1,1985
R170004.1.1,1996
R171290.1.1,1975
R171334.1.1,1975
R171343.1.1,1979
R171361.1.1,1960
R171414.1.1,1963
R171414.1.2,1963
R171487.1.1,1950
R171487.1.2,1950
R171566.1.2,1955
R1875.1.1,1926
R1875.1.3,1926
R1875.4.1,2008
R1893.1.1,1980
R1893.10.1,1980
R1893.2.1,1980
R1893.3.1,1980
R1893.4.1,1980
R1893.5.1,1980
R1893.6.1,1980
R1893.7.1,1980
R1893.8.1,1980
R1893.9.1,1980
R189655.1.1,1978
R189664.1.1,1956
R189673.1.1,1940
R189717.1.1,1971
R189726.1.1,1965
R191544.1.1,1987
R191544.1.2,1987
R191544.1.3,1987
R191544.1.4,1987
R191544.1.5,1987
R191544.1.6,1987
R191544.1.7,1987
R191562.1.1,1978
R191697.1.1,2002
R192455.1.1,1962
R192473.1.1,1966
R192482.1.1,1985
R192874.2.1,1987
R192874.3.1,2004
R192918.1.1,1940
R192918.1.2,1940
R192954.1.1,1992
R192972.1.1,1968
R192981.1.1,1950
R192990.1.1,1950
R193007.1.1,1974
R193016.1.1,1977
R193025.1.1,1982
R193043.1.1,1969
R193052.1.1,1988
R193061.1.1,1993
R193070.1.1,1966
R193098.1.1,1910
R193098.1.2,1910
R193105.1.1,1935
R193695.1.1,1964
R198388.1.1,1994
R2000022.1.1,1987
R2000029.1.1,1989
